date;source;duta;dutb;temp;temp2;
10202018-14:36:52;4.20;4.200001491;4.200004107;35.1;34.2;
10202018-14:38:04;4.30;4.300001360;4.300004204;35.1;34.3;
10202018-14:39:17;4.40;4.400001140;4.400004265;35.1;34.3;
10202018-14:40:29;4.50;4.500001062;4.500004098;35.1;34.4;
10202018-14:41:41;4.60;4.600001126;4.600004089;35.1;34.4;
10202018-14:42:54;4.70;4.700001333;4.700004378;35.1;34.4;
10202018-14:44:06;4.80;4.800001219;4.800004702;35.1;34.5;
10202018-14:45:18;4.90;4.900001355;4.900004938;35.1;34.5;
10202018-14:46:31;5.00;5.000001419;5.000004824;35.1;34.6;
10202018-14:47:43;5.10;5.100001519;5.100004710;35.1;34.6;
10202018-14:48:55;5.20;5.200001494;5.200004841;35.2;34.6;
10202018-14:50:08;5.30;5.300001772;5.300005217;35.2;34.7;
10202018-14:51:20;5.40;5.400001783;5.400005121;35.1;34.7;
10202018-14:52:32;5.50;5.500002078;5.500005305;35.2;34.8;
10202018-14:53:45;5.60;5.600001876;5.600005191;35.2;34.8;
10202018-14:54:57;5.70;5.700001620;5.700005427;35.2;34.8;
10202018-14:56:09;5.80;5.800002147;5.800006066;35.2;34.9;
10202018-14:57:22;5.90;5.900001660;5.900005602;35.2;34.9;
10202018-14:58:34;6.00;6.000001955;6.000005102;35.2;34.9;
10202018-14:59:46;6.10;6.100001611;6.100005531;35.2;34.9;
10202018-15:00:59;6.20;6.200001995;6.200005627;35.2;35.0;
10202018-15:02:11;6.30;6.300002219;6.300006301;35.3;35.0;
10202018-15:03:23;6.40;6.400001892;6.400006257;35.3;35.0;
10202018-15:04:36;6.50;6.500002259;6.500006353;35.3;35.0;
10202018-15:05:48;6.60;6.600002306;6.600006467;35.3;35.1;
10202018-15:07:00;6.70;6.700002299;6.700006633;35.3;35.1;
10202018-15:08:13;6.80;6.800002452;6.800006869;35.3;35.1;
10202018-15:09:25;6.90;6.900002694;6.900006878;35.3;35.1;
10202018-15:10:37;7.00;7.000002741;7.000006817;35.3;35.1;
10202018-15:11:50;7.10;7.100002609;7.100006738;35.4;35.2;
10202018-15:13:02;7.20;7.200002478;7.200007061;35.4;35.2;
10202018-15:14:14;7.30;7.300002738;7.300007543;35.4;35.3;
10202018-15:15:27;7.40;7.400002304;7.400007481;35.4;35.3;
10202018-15:16:39;7.50;7.500002404;7.500006789;35.4;35.3;
10202018-15:17:51;7.60;7.600002629;7.600007096;35.4;35.3;
10202018-15:19:04;7.70;7.700002942;7.700007454;35.4;35.3;
10202018-15:20:16;7.80;7.800002686;7.800007691;35.4;35.3;
10202018-15:21:28;7.90;7.900002821;7.900007402;35.4;35.3;
10202018-15:22:41;8.00;8.000003170;8.000007217;35.4;35.3;
10202018-15:23:53;8.10;8.100003573;8.100007384;35.4;35.3;
10202018-15:25:05;8.20;8.200003957;8.200007935;35.4;35.3;
10202018-15:26:17;8.30;8.300003666;8.300008259;35.5;35.4;
10202018-15:27:30;8.40;8.400003481;8.400008145;35.5;35.4;
10202018-15:28:42;8.50;8.500003616;8.500008276;35.5;35.4;
10202018-15:29:54;8.60;8.600004303;8.600008565;35.5;35.4;
10202018-15:31:07;8.70;8.700004207;8.700008888;35.5;35.4;
10202018-15:32:19;8.80;8.800003827;8.800008845;35.5;35.5;
10202018-15:33:31;8.90;8.900003802;8.900008976;35.5;35.5;
10202018-15:34:44;9.00;9.000004098;9.000008687;35.5;35.5;
10202018-15:35:56;9.10;9.100003718;9.100008450;35.5;35.5;
10202018-15:37:08;9.20;9.200003711;9.200008651;35.6;35.5;
10202018-15:38:21;9.30;9.300003775;9.300009448;35.6;35.5;
10202018-15:39:33;9.40;9.400004231;9.400009666;35.6;35.5;
10202018-15:40:46;9.50;9.500003299;9.500009763;35.5;35.5;
10202018-15:41:58;9.60;9.600003043;9.600010384;35.5;35.6;
10202018-15:43:10;9.70;9.700003303;9.700010060;35.5;35.5;
10202018-15:44:22;9.80;9.800003456;9.800010454;35.5;35.6;
10202018-15:45:35;9.90;9.900002827;9.900010042;35.5;35.6;
10202018-15:46:47;10.00;10.000003370;10.000009650;35.5;35.6;
10202018-15:47:59;10.10;10.100003200;10.100009640;35.6;35.6;
10202018-15:49:12;10.20;10.200004120;10.200009960;35.6;35.6;
10202018-15:50:24;10.30;10.300003300;10.300010010;35.6;35.6;
10202018-15:51:36;10.40;10.400003700;10.400009800;35.6;35.6;
10202018-15:52:49;10.50;10.500002950;10.500009990;35.5;35.6;
10202018-15:54:01;10.60;10.600002640;10.600010120;35.6;35.6;
10202018-15:55:13;10.70;10.700003130;10.700010850;35.6;35.6;
10202018-15:56:26;10.80;10.800003260;10.800011330;35.6;35.6;
