date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-17:37:15;-1.706497;-1.70649867;-1.70649677;-1.70649915;-1.70650131;-1.7064999;-1.706497;-1.7065083;-1.706496;-1.7064925;7.06226e-08;2.2671e-07;2.59863e-07;1.54128e-07;2.49444e-07;2.49444e-07;1.13137e-06;3.68179e-07;1.63299e-07;34.9;36.4;39.6;23.0;23.0;24.61;44.3;999.57;
06132026-12:12:11;-1.681368;-1.68136894;-1.68136827;-1.68136886;-1.68137303;-1.681372;-1.6813674;-1.6813793;-1.6813667;-1.6813627;1.93505e-07;2.81109e-08;3.76504e-08;1.42906e-07;2.86744e-07;3.29983e-07;6.12826e-07;4.10961e-07;1.88562e-07;34.0;35.3;38.6;23.0;23.0;22.98;46.1;1001.19;
06132026-15:15:37;-1.65533;-1.6553311;-1.65533057;-1.65533125;-1.65533449;-1.6553332;-1.6553287;-1.6553423;-1.6553288;-1.6553253;2.72e-07;4.00734e-07;7.85974e-08;1.06562e-07;2.16025e-07;1.24722e-07;5.65685e-07;3.68179e-07;4.71405e-08;33.9;35.2;38.5;23.0;23.0;23.22;46.2;999.98;
06132026-14:45:26;-1.653293;-1.65329422;-1.65329329;-1.65329419;-1.65329773;-1.6532961;-1.6532919;-1.653303;-1.6532918;-1.6532891;3.50297e-07;1.62842e-07;1.31993e-07;1.29701e-07;3.09121e-07;4.71405e-08;2.03961e-06;2.35702e-07;2.0548e-07;34.0;35.4;38.6;23.0;23.0;23.09;45.9;1000.02;
06132026-14:52:24;-1.641019;-1.64101994;-1.64101955;-1.64102;-1.64102373;-1.641022;-1.6410179;-1.6410304;-1.6410178;-1.6410148;3.61755e-08;9.56185e-08;1.9274e-07;1.0873e-07;2.35702e-07;1.69967e-07;2.00056e-06;3.39935e-07;9.42809e-08;34.0;35.4;38.6;23.0;23.0;22.78;46.0;999.9;
06132026-14:24:32;-1.63716;-1.637161;-1.63716055;-1.63716103;-1.63716451;-1.6371633;-1.6371591;-1.6371734;-1.6371576;-1.6371555;2.73512e-07;1.9116e-07;1.9874e-07;3.00703e-07;9.42809e-08;1.69967e-07;1.54128e-06;8.16497e-08;2.49444e-07;34.0;35.4;38.5;23.0;23.0;22.79;46.0;1000.0;
06132026-16:55:27;-1.606575;-1.60657662;-1.60657542;-1.60657641;-1.60657934;-1.6065784;-1.6065744;-1.6065875;-1.6065721;-1.6065706;1.13567e-07;2.1722e-07;1.0525e-07;1.31233e-07;2.62467e-07;4.18994e-07;1.17851e-06;1.24722e-07;1.88562e-07;34.4;35.8;38.9;23.0;23.0;24.18;44.9;999.77;
06132026-16:11:21;-1.582434;-1.58243515;-1.58243472;-1.58243505;-1.58243852;-1.5824369;-1.5824331;-1.5824475;-1.5824292;-1.5824301;2.1424e-07;2.67762e-07;9.38841e-08;2.05318e-07;3.29983e-07;1.41421e-07;1.69706e-06;1.88562e-07;9.42809e-08;33.9;35.3;38.4;23.0;23.0;23.6;45.9;1000.2;
06132026-16:09:01;-1.570278;-1.57027926;-1.57027838;-1.57027917;-1.57028216;-1.5702809;-1.5702771;-1.57029;-1.5702728;-1.5702736;3.82825e-07;9.15436e-08;2.26826e-07;1.77951e-07;2.16025e-07;4.49691e-07;5.65685e-07;2.94392e-07;8.16497e-08;33.9;35.3;38.4;23.0;23.0;23.53;46.0;1000.19;
06132026-15:31:52;-1.537118;-1.5371194;-1.53711879;-1.53711873;-1.53712277;-1.5371216;-1.5371171;-1.5371298;-1.5371098;-1.5371136;7.56086e-08;7.47901e-08;2.66103e-07;1.30213e-07;3.29983e-07;9.42809e-08;5.65685e-07;2.35702e-07;1.24722e-07;33.8;35.2;38.5;23.0;23.0;22.68;46.1;999.97;
