date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;Unnamed: 28
06132026-23:15:36;-0.167484;-0.167484155;-0.167483368;-0.167483409;-0.167483777;-0.167485107;-0.1674838;-0.16748542;-0.16748532;-0.16748268;6.19726e-08;7.65263e-08;2.80377e-08;1.01787e-07;7.16659e-09;8.35225e-08;2.13598e-07;5.2e-08;3.38231e-08;35.1;36.5;39.6;23.0;23.0;24.68;44.6;999.51;
06142026-07:13:30;-0.167416;-0.167416215;-0.167415413;-0.167415383;-0.167415858;-0.16741712;-0.16741596;-0.16741713;-0.16741686;-0.16741464;4.53281e-08;6.78634e-08;9.45576e-08;8.85271e-08;2.06785e-08;1.10526e-07;1.83085e-07;5.11468e-08;3.97995e-08;35.7;37.1;40.3;23.0;23.0;24.97;43.7;997.91;
06142026-10:48:00;-0.165647;-0.165647164;-0.165646467;-0.165646479;-0.165646698;-0.165648178;-0.16564705;-0.16564807;-0.16564765;-0.16564586;6.62223e-08;6.71631e-08;7.4159e-08;1.47464e-07;2.34811e-08;1.03421e-07;1.43052e-07;3.44093e-08;2.92575e-08;36.1;37.7;40.8;23.0;23.0;25.87;42.9;997.5;
06142026-06:12:41;-0.163608;-0.163608245;-0.163607409;-0.163607413;-0.163607765;-0.163609092;-0.16360808;-0.16360927;-0.16360869;-0.16360672;3.37383e-08;7.9857e-08;6.51205e-08;1.74802e-07;3.69183e-08;8.5557e-08;4.44792e-07;5.67803e-08;2e-08;35.5;36.9;40.1;23.0;23.0;24.84;43.8;997.65;
06142026-10:03:11;-0.162946;-0.162946195;-0.162945368;-0.162945455;-0.162945699;-0.162947089;-0.16294602;-0.16294718;-0.16294675;-0.16294481;3.8699e-08;5.93447e-08;6.10809e-08;1.33877e-07;2.84e-08;5.45527e-08;2.09724e-07;2.72764e-08;2.63818e-08;36.0;37.4;40.7;23.0;23.0;25.21;43.3;997.57;
06132026-21:38:39;-0.160471;-0.160471119;-0.16047042;-0.160470498;-0.160470877;-0.160472091;-0.16047074;-0.16047191;-0.16047192;-0.16047004;3.35328e-08;6.85905e-08;7.0759e-08;1.62808e-07;2.92616e-08;1.36528e-07;3.30273e-07;5.08331e-08;1.46969e-08;35.0;36.4;39.5;23.0;23.0;24.65;44.8;1002.03;
06142026-01:56:35;-0.160054;-0.160054143;-0.160053539;-0.160053395;-0.160053885;-0.160055103;-0.16005392;-0.16005548;-0.16005439;-0.16005286;5.28598e-08;7.63359e-08;6.42986e-08;1.32967e-07;3.44407e-08;4.40908e-08;1.62776e-07;4.66476e-08;1.89737e-08;35.1;36.3;39.5;23.0;23.0;23.98;44.6;997.58;
06142026-00:54:50;-0.16001;-0.160010167;-0.160009437;-0.160009378;-0.160010086;-0.160011102;-0.16000998;-0.16001126;-0.16001051;-0.16000876;1.81828e-07;4.40573e-08;4.63905e-08;8.14287e-08;1.20067e-08;1.04038e-07;1.51789e-07;4.12795e-08;3.03315e-08;35.0;36.3;39.5;23.0;23.0;24.3;44.9;998.61;
06142026-04:33:26;-0.159298;-0.159298147;-0.159297446;-0.159297413;-0.159297675;-0.159299057;-0.15929796;-0.1592992;-0.15929833;-0.15929691;5.33163e-08;3.09345e-08;8.30957e-08;1.35547e-07;4.55649e-08;7.73563e-08;2.05582e-07;5.1923e-08;2.15407e-08;35.4;36.7;39.9;23.0;23.0;25.06;43.8;997.52;
06142026-02:25:24;-0.158257;-0.15825717;-0.158256596;-0.158256311;-0.158256808;-0.158258141;-0.15825697;-0.15825855;-0.15825731;-0.15825584;6.52786e-08;5.76953e-08;1.02593e-07;1.22192e-07;1.56767e-08;5.57136e-08;3.96111e-07;3.84708e-08;2.33238e-08;35.2;36.4;39.6;23.0;23.0;24.1;44.3;997.26;
