date;source;3458b;3459x;3458ff;2002ltc;d1281;h34420a;h34401;k2001;k2001m;sdev;sdev2;sdev3;sdev4;sdev5;sdev6;sdev7;sdev8;sdev9;temp;temp2;temp3;temp4;temp5;roomtemp;roomr;roomp;
06132026-02:00:48;6.348272;6.34827164;6.34826635;6.34827321;6.3482619;6.3482714;6.3482576;6.3482756;6.348191;6.348274;4.65966e-07;2.22531e-07;3.01897e-07;5.31246e-07;1.41421e-07;3.39935e-07;5.65685e-07;3.68179e-06;3.29983e-06;34.1;35.4;38.4;23.0;23.0;23.450;45.2;1000.51;
06132026-02:03:08;9.953615;9.95361474;9.95360717;9.95361627;9.9536001;9.953616;9.9536014;9.9536326;9.953561;9.953611;2.27087e-07;2.99884e-07;4.0261e-07;7.78888e-07;1.69967e-07;2.0548e-07;1.17851e-06;3.39935e-06;3.74166e-06;34.1;35.4;38.4;23.0;23.0;23.250;45.1;1000.51;
06132026-02:05:27;4.973318;4.97331779;4.97331412;4.97331913;4.97331;4.9733157;4.9733052;4.9733204;4.973107;4.973318;2.58407e-07;6.55321e-07;5.14657e-07;6.54896e-07;5.55778e-07;2.49444e-07;9.79796e-07;2.86744e-06;4.71405e-07;34.1;35.4;38.4;23.0;23.0;23.100;45.1;1000.44;
06132026-02:07:47;9.368179;9.36817786;9.36817168;9.36817983;9.3681625;9.3681788;9.3681657;9.3681952;9.368141;9.368181;7.93361e-08;2.90096e-07;1.91647e-07;1.39124e-06;3.85861e-07;2.49444e-07;9.79796e-07;1.41421e-06;4.49691e-06;34.1;35.4;38.4;23.0;23.0;23.150;45.3;1000.38;
06132026-02:10:06;-5.338253;-5.33825375;-5.33825214;-5.33825544;-5.3382459;-5.3382557;-5.3382484;-5.3382703;-5.338487;-5.338278;5.86599e-07;3.38645e-07;6.3126e-07;5.24934e-07;3.68179e-07;2.62467e-07;5.65685e-07;2.49444e-06;1.69967e-06;34.1;35.4;38.5;23.0;23.0;23.250;45.3;1000.31;
06132026-02:12:26;-9.052753;-9.05275301;-9.05275049;-9.05275583;-9.052741;-9.0527539;-9.0527428;-9.0527752;-9.052808;-9.052793;2.8625e-07;2.88175e-07;3.74166e-07;4.71405e-08;3.85861e-07;9.10433e-07;6.12826e-07;2.49444e-06;3.85861e-06;34.1;35.3;38.4;23.0;23.0;23.390;45.3;1000.39;
06132026-02:14:45;-10.563054;-10.5630543;-10.5630511;-10.5630578;-10.5630392;-10.5630552;-10.563043;-10.56308;-10.563148;-10.563097;2.26421e-07;2.11397e-07;2.17e-07;2.82843e-07;2.94392e-07;8.16497e-07;8.16497e-07;2.86744e-06;1.63299e-06;34.1;35.3;38.4;23.0;23.0;23.460;45.2;1000.42;
06132026-02:17:05;-8.531997;-8.53199729;-8.53199443;-8.53200016;-8.5319848;-8.5319982;-8.53199;-8.5320207;-8.532055;-8.532031;3.07633e-07;2.11836e-07;1.54027e-07;7.58654e-07;9.42809e-08;4.71405e-07;0;1.88562e-06;4.54606e-06;34.0;35.2;38.4;23.0;23.0;23.320;45.1;1000.39;
06132026-02:19:24;-5.365044;-5.36504438;-5.36504226;-5.36504623;-5.3650376;-5.3650457;-5.3650402;-5.3650623;-5.365273;-5.365065;3.25331e-07;1.20856e-07;1.26771e-07;3.85861e-07;2.16025e-07;3.55903e-07;1.13137e-06;4.6428e-06;3.29983e-06;34.0;35.3;38.4;23.0;23.0;23.110;45.0;1000.31;
06132026-02:21:44;8.199036;8.19903568;8.19902933;8.1990369;8.199022;8.1990375;8.1990223;8.1990504;8.199012;8.199032;2.7161e-07;1.32914e-07;4.88587e-07;4.6428e-07;3.55903e-07;9.42809e-08;1.02089e-06;2.35702e-06;4.6428e-06;34.0;35.3;38.4;23.0;23.0;22.950;45.1;1000.25;
